adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/AmHOQ7rpHwiaUMRjKXztnauSJb7.jpg,"[28, 12, 14, 878]",19995,en,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",81.682,/6EiRUJpuoeQPghrs3YNktfnqOVh.jpg,2009-12-10,Avatar,False,7.5,22987
False,/z3ElnHwcf1g56Qlp53yGbPsGXL7.jpg,"[28, 12, 878, 14, 53]",76600,en,Avatar 2,"Avatar: The Way of Water will once again follow Sam Worthington’s Jake Sully twelve years after exploring Pandora and joining the Na’vi. He has since raised a family with Neytiri, portrayed by Zoe Saldana, and established himself within the clans of the new world. Of course, peace can only last so long. Especially when the military organisation from the original film returns to “finish what they started”.",41.948,/110CYDvtnVRWs9meC4lsZCz98vg.jpg,2022-12-15,Avatar 2,False,0.0,0
False,,[99],183392,en,Capturing Avatar,"Capturing Avatar is a feature length behind-the-scenes documentary about the making of Avatar. It uses footage from the film's development, as well as stock footage from as far back as the production of Titanic in 1995. Also included are numerous interviews with cast, artists, and other crew members. The documentary was released as a bonus feature on the extended collector's edition of Avatar.",13.428,/bof9FHKd2rayPEGl0naYdem0baF.jpg,2010-11-16,Capturing Avatar,True,8.0,33
False,,[99],111332,en,Avatar: Creating the World of Pandora,The Making-of James Cameron's Avatar. It shows interesting parts of the work on the set.,17.266,/d9oqcfeCyc3zmMal6eJbfj3gatc.jpg,2010-02-07,Avatar: Creating the World of Pandora,False,6.8,12
False,,[99],278698,en,Avatar Spirits,"Bryan Konietzko and Michael Dante DiMartino, co-creators of the hit television series, Avatar: The Last Airbender, reflect on the creation of the masterful series.",11.552,/oBWVyOdntLJd5bBpE0wkpN6B6vy.jpg,2010-06-22,Avatar Spirits,False,8.7,9
False,,[],287004,en,Avatar: Production Materials,Production material overview of what was used in Avatar,14.896,/24IEVGFKPbNQZgbhQU79JnPSAYE.jpg,2009-12-18,Avatar: Production Materials,False,8.5,2
False,,"[28, 12, 18, 14, 878]",83533,en,Avatar 3,,6.849,,2024-12-19,Avatar 3,False,0.0,0
False,,[99],287003,en,Avatar: Scene Deconstruction,The deconstruction of the Avatar scenes and sets,9.416,/uCreCQFReeF0RiIXkQypRYHwikx.jpg,2009-12-18,Avatar: Scene Deconstruction,False,10.0,1
False,,"[28, 12, 14, 878]",393209,en,Avatar 5,,4.534,,2028-12-21,Avatar 5,False,0.0,0
False,,"[28, 12, 14, 878]",216527,en,Avatar 4,,3.673,,2026-12-17,Avatar 4,False,0.0,0
False,,[99],348369,en,Avatar Days,"Originally created for the Darklight Festival's '4 Day Movie' project, Avatar Days is a portrait of four online gamers in Dublin whose daily lives contrast with their virtual identities. Advanced 3D technologies and Motion Capture animation were used to insert the players' in-game characters in place of their real selves against the backdrop of the banal urban landscape which they inhabit.",3.114,,2010-02-02,Avatar Days,True,0.0,0
False,,[],421403,en,Avatar,"Indranath’s son is ill, Guru Omkarananda suggests he pray to the goddess Kamala. His son improves but bad luck follows Indranath; his son and daughter die. Unable to stand the grief the Queen/Kalyani loses her mental equilibrium. Goddess Kamala manifests as Rupasi, the daughter of Omkarananda. Virodhananda and his son Tribhanga are the incarnation of Narad and Narayan on earth. The kingdom goes through difficult times. Omkarananda is arrested and Rupasi goes to meet Bastabesh/Indranath who is attracted to her. Rupasi takes refuge in Birodhananda’s house to avoid Bastabesh’s advances. Birodhananda is interested in getting his son Tribhanga married to Rupasi. Bastabesh goes after Rupasi/Kamala who blinds him. Finally the gods perform their miracle and a repentant Bastabesh is restored his sight and kingdom.",1.539,,1941-09-16,Avatar,False,7.3,3
False,/e8mmDO7fKK93T4lnxl4Z2zjxXZV.jpg,[],668297,en,The Last Avatar,"The Last Avatar is a mystical adventure film, a story of a young man who leaves Hollywood to find himself. What he finds is beyond his wildest imagination. Based on ancient prophecy, contemporary truth seeking and the future of humanity, The Last Avatar is a film that takes transformational themes and makes them relevant for audiences of all ages. Filled with love, magic, mystery, conspiracy, psychics, underground cities, secret societies, light bodies and much more, The Last Avatar tells the story of the emergence of Kalki Avatar- the final Avatar of our current Age of Chaos. Kalki is also a metaphor for the innate power and potential that lies within humanity to awaken and create a world of truth, harmony and possibility.",1.749,/XWz5SS5g5mrNEZjv3FiGhqCMOQ.jpg,2014-12-06,The Last Avatar,False,4.5,2
False,/zNU38gZOGmdNnVMhVqxKu9UkbgE.jpg,"[35, 10749]",677528,kn,Avatar Purusha,"Avatar Purusha is a romantic entertainer movie directed by Simple Suni and produced by Pushkara Mallikarjunaiah. The movie cast includes Sharan and Ashika Ranganath are in the lead roles along with Sai Kumar, Sudha Rani, Bhavya, Sadhu Kokila, Sri Nagar Kitty, B Suresha and many others are seen in supporting roles while Arjun Janya scored music.",0.84,/gQ29E9Qy6z5ExsxnpgUTHfpZFO3.jpg,,Avatar Purusha,False,0.0,0
False,,"[99, 878, 12]",685621,en,The Last Airbender: Origins of the Avatar,"Creators Michael DiMartino and Bryan Konietzko, who explain the backstory of their project and how martial arts informed the cartoon world and the eccentric characters.",4.149,/yJYqiIUScivR7BStmYZ6LbCZPy4.jpg,2010-11-16,The Last Airbender: Origins of the Avatar,False,7.3,8
False,/fCK2T5ruQrqRsciJ01jjQSkNWVq.jpg,"[16, 28, 12, 14]",613200,zh,全职高手之巅峰荣耀,"Prequel movie of Quan Zhi Gao Shou (The King's Avatar), dealing with Ye Xiu's original entry into the pro gaming world of Glory, and the first Pro League series tournament.",78.868,/aQ7ZUDxcSf8U4ynCstNCMLgdhrD.jpg,2019-08-16,The King’s Avatar: For The Glory,False,6.0,6
False,/x43RWEZg9tYRPgnm43GyIB4tlER.jpg,[],740017,es,Avatar: Agni Kai,,1.134,,2020-01-18,Avatar: Agni Kai,False,0.0,0
False,,"[99, 878]",100287,da,Min Avatar og mig,"is a creative documentary-fiction film and a film that might expand your sense of reality. It is the story about a man who enters the virtual world Second Life to pursue his personal dreams and ambitions. His journey into cyberspace becomes a magic learning experience, which gradually opens the gates to a much larger reality.",0.6,/dZCj0jiOoDzAzbQM7ryYFEjkjs7.jpg,2010-11-10,My Avatar and Me,False,0.0,0
False,,"[10402, 35]",663910,en,Legend of Avatar Country: A Metal Odyssey,"The mighty tale of your favorite band and their adventures in Avatar Country, made possible through the backing and support of our beloved Citizens!",1.735,/903yo5dAVpjvha6ylF1B2Kg401f.jpg,2019-11-22,Legend of Avatar Country: A Metal Odyssey,False,0.0,0
False,,"[16, 14]",800320,en,Upcoming Avatar: The Last Airbender Movie,"A full-length, theatrical, animated movie based on Avatar: The Last Airbender.",1.352,,,Upcoming Avatar: The Last Airbender Movie,False,0.0,0
